CODE,de
BOB_UPD_051_0,"Neues Layout der Baum-/Dekorationenliste mit Symbolen, die angeben, welche Art von Ersetzung aktiv ist"
BOB_UPD_052_0,Konfigurationsverwaltung für die Verarbeitung verschiedener Konfigurationsdateien in den Einstellungen hinzugefügt
BOB_UPD_060_0,Austausch freistehender Dekorationen (Karten-weiter Ersatz)
BOB_UPD_060_1,Ausgewählte Dekorationen oder Bäume werden visuell markiert
BOB_UPD_060_2,Kann jetzt Netzwerke in Gebäuden auswählen
BOB_UPD_060_3,Kann jetzt Dekorationsgebäude auswählen
BOB_UPD_060_4,"Neu gestaltete, kleinere Oberfläche"
BOB_UPD_061_0,Sortieren nach Name als Filter hinzugefügt
BOB_UPD_062_0,Funktion hinzugefügt um die Zerstörung von Gras durch alle Bäume und/oder Dekorationen zu verhindern (In den Einstellungen)
BOB_UPD_062_1,Fährstraßen sind nun anwählbar (um die Makierungs-Bojen auszutauschen oder zu verstecken)
BOB_UPD_062_2,"Fehler behoben, der manchmal die Winkel-Angaben von Netzwerk-Dekoration fehlerhaft anzeigte"
BOB_UPD_080_0,Einzelne Dekorationen von Netzwerken ändern hinzugefügt
BOB_UPD_080_1,Unified UI (UUI) Button hinzugefügt
BOB_UPD_086_0,"Option hinzugefügt, mit der Kabel in Netzwerken (Strom- und Oberleitungen) dünner und somit realistischer dargestellt werden "
