"LANGUAGE","Українська"
"BOB_UPD_062_0","Додано можливість видалення поверхні руйнування з під всіх дерев та/або реквізиту (в панелі налаштувань)"
"BOB_UPD_062_1","Поромні шляхи тепер можуть бути обрані (щоб змінити/приховати буйки)"
"BOB_UPD_062_2","Виправлено кути мережевого реквізиту іноді неправильно показуються при виборі"
"BOB_UPD_080_0","Додано індивідуальну заміну мережевого реквізиту"
"BOB_UPD_080_1","Додано кнопку Unified UI (UUI)"
"BOB_UPD_086_0","Додано параметр, щоб зробити проводи в мережах (електролінії та залізничні лінії) більш реалістичного розміру"
"BOB_UPD_090_0","Зміни тепер відображаються в режимі реального часу"
"BOB_UPD_090_1","Зміни інтерфейсу користувача: додано вибір між режимами заміни перед застосуванням змін"
"BOB_UPD_090_2","Змінити інтерфейсу користувача: спеціальна кнопка «приховування» для автоматичного встановлення ймовірності на нуль"
"BOB_UPD_090_3","Система перекладу була оновлена для використання Crowdin"
"BOB_UPD_090_4","Дерева більше не мають налаштування кута, тому що це завжди буде перевизначено за допомогою будь-якого мода з випадковим кутом дерева"
"BOB_UPD_090_5","Покращено обробку реквізиту за допомогою спеціальних атрибутів"
"BOB_UPD_090_6","Інші незначні поліпшення інтерфейсу та функціональних можливостей"
"BOB_UPD_091_0","Комбінований режим реквізит/дерево - заміна реквізиту деревами або навпаки"
"BOB_UPD_091_1","Налаштування інтервалу між повторюваним мережевим реквізитом (тільки для індивідуального режиму)"
"BOB_UPD_091_2","Підземний режим для вибору тунелів (PageDown/PageUp для перемикання)"
"BOB_UPD_091_3","Тепер світло можна додати або видалити в грі (перезавантаження більше не потрібно для оновлення ефектів освітлення)"
"BOB_UPD_091_4","Підсвітка положення реквізиту або дерев затінене під час натиснення зміни та повністю вимкнене в той час, як alt натиснута"
"BOB_UPD_092_0","Додано параметр для вимкнення заміни дерева за допомогою ігрового інструменту. Використовуючи цю опцію, Ви можете вимикати функцію переходу до мережі для інструменту, що дозволяє ручне розміщення дерев поблизу (або ввімкнено, використовуючи моди Анархії)."
"BOB_UPD_093_0","Основна нова функція: додавайте об'єкти до префабів будівель."
"BOB_UPD_093_1","Додано гарячу клавішу, щоб вимкнути інструмент заміни ванільних дерев (типово Ctrl-Shift-T)"
"BOB_UPD_094_0","Основна нова функція: додавайте об'єкти до префабів мереж."
