"LANGUAGE","正體中文"
"BOB_PNL_REP","間距"
"BOB_PNL_REP_TIP","克隆體之間的距離"
"BOB_PNL_SUB","子建築"
"BOB_RND_TIT","配置隨機物體和樹木"
"BOB_RND_NEW","新建"
"BOB_RND_DEL","刪除"
"BOB_RND_REN","重命名"
"BOB_RND_ADD","添加變量"
"BOB_RND_SUB","從變量中移除"
"BOB_SCA_TIT","配置物體縮放"
"BOB_SCA_MIN","最小縮放"
"BOB_SCA_MAX","最大縮放"
"BOB_SPR_SBL","這些建築現在已經套用了一個替換了"
"BOB_SPR_ABL","所有建築現在已經套用了一個替換了"
"BOB_SPR_SNT","這些道路現在已經套用了一個替換了"
"BOB_SPR_ANT","所有道路現在已經套用了一個替換了"
"BOB_SPR_PCK","現在已經套用了一個替換包了"
"BOB_SPR_ADD","這個項目已經被BOB替換過了，它已經不是原有素材的一部分了"
"BOB_PCK_APP","套用替換包"
"BOB_PCK_APP_A","套用已選擇的替換包"
"BOB_PCK_APP_C","替換包不能套用，因為已經套用了別的替換包"
"BOB_PCK_APP_I","替換包已被套用了"
"BOB_PCK_RVT","重置替換包"
"BOB_PCK_RVT_A","取消套用已選替換包"
"BOB_PCK_RVT_I","替換包沒有被套用"
"BOB_PCK_NAL","並非所有替換包都可用"
"BOB_CFG_UCS","對此存檔使用已選配置(非全局配置)"
"BOB_CFG_SAC","保存現有配置"
"BOB_CFG_SSC","複製已選配置"
"BOB_CFG_SEC","新建空配置"
"BOB_CFG_DEL","刪除已選配置"
"BOB_CFG_LAA","讀取並套用已選配置"
"BOB_CFG_LGL","讀取並套用已選全局配置"
"BOB_CFG_CLE","清除現有配置"
"BOB_CFG_CLE_TIP","從當前配置文件中刪除對未加載的建築、道路、物體和樹木的任何引用"
"BOB_CFG_CMD","清除地圖數據"
"BOB_CFG_CMD_TIP","從當前存檔中刪除已替換的獨立樹木和物體記錄。 這意味著您不能再恢復此地圖的替換(不影響建築或道路中的物體或樹木)"
"BOB_OPT_GEN","常規選項"
"BOB_OPT_CFG","配置"
"BOB_OPT_VIS","特效"
"BOB_OPT_RUI","雜漬"
"BOB_OPT_WIR","電線"
"BOB_OPT_KEY","快鍵"
"BOB_OPT_DTK","快鍵"
"BOB_OPT_PRS","按任意鍵"
"BOB_OPT_RGL","須要重啟遊戲才能生效"
"BOB_OPT_RRT","取消樹木地面雜漬"
"BOB_OPT_RRP","取消物體地面雜漬"
"BOB_OPT_WTH","更細的電線"
"BOB_NUKE","重置配置"
"BOB_PER_IND","預設顯示單獨物體"
"BOB_PER_SIN","始終關閉"
"BOB_PER_GRP","始終開啟"
"BOB_PER_LST","記住現有設置"
"BOB_OPT_POS","記住現有面板位置"
"BOB_OPT_DTT","禁用遊戲預設樹木和道路樹木替換工具"
"BOB_FIL_NAME","搜尋:"
"MES_PAGE","請參閱模組(Mod)在Steam工作坊的頁面以獲得更多資訊。"
"BOB_ERR_FAT","這意味著模組(Mod)將無法正常使用，並且已自動禁用。"
"BOB_ERR_HAR","“BOB：樹木物體替換器(BOB The Tree And Prop Replacer)” 模組(Mod) 無法完成因為它須要 “Harmony” 支援庫。"
"ERR_HAR0","“Harmony” 支援庫錯誤。"
"ERR_HAR1","導致此問題有可能包括的原因："
"ERR_HAR2","“Harmony 2” 支援庫模組(Mod)沒有訂閱。"
"ERR_HAR3","一些老的或壞的模組(Mod)導致 “Harmony 2” 支援庫模組(Mod)無法正常運轉。"
"BOB_UPD_040_0","包含地圖樹木替換！要開啟 “BOB：樹木物體替換器(BOB The Tree And Prop Replacer)” 用於地圖樹木替換，點擊任意一顆在地圖上的樹木之後按Alt+B開啟面板。"
"BOB_UPD_041_0","修復了更改目標項目時間歇性建築替換面板異常的問題"
"BOB_UPD_042_0","啟用子建築選擇"
"BOB_UPD_042_1","修復遊戲讀取時的潛在權限使用條件"
"BOB_UPD_043_0","修復當使用 “所有建築” 或 ”所有道路“ 替換時概率更新還原問題"
"BOB_UPD_043_1","修復當使用 “所有建築” 或 ”所有道路“ 替換時LOD不更新問題"
"BOB_UPD_043_2","調整訊息面板文字標籤以符合更長的翻譯字段"
"BOB_UPD_050_0","初步實現道路替換包"
"BOB_UPD_050_1","現在已完全相容 ”Network Skins 2“ 模組(Mod)"
"BOB_UPD_050_2","快速替換進程處理"
"BOB_UPD_051_0","新的樹木和物體表列佈局，並帶有圖標以提示哪種替換類型處於激活狀態"
"BOB_UPD_052_0","添加配置管理以處理多個不同的配置文檔，可通過選項面板進行訪問更改"
"BOB_UPD_060_0","獨立物體更換"
"BOB_UPD_060_1","突出顯示選定的物體或樹木"
"BOB_UPD_060_2","現在可以直接選項建築中的道路"
"BOB_UPD_060_3","現在可以直接選項建築中的裝飾物"
"BOB_UPD_060_4","重新設計了較小的替換面板"
"BOB_UPD_061_0","將 “升序/降序” 名稱排序過濾器添加致表列"
"BOB_UPD_062_0","添加移除所有樹木和物體地面雜漬功能(在設置面板)"
"BOB_UPD_062_1","渡輪航道可選(更改或隱藏輪渡標記浮標)"
"BOB_UPD_062_2","修復當選擇道路物體時，物體角度顯示不正確的問題"
"BOB_UPD_080_0","添加獨立道路物體替換"
"BOB_UPD_080_1","添加 Unified UI (UUI) 按鈕"
"BOB_UPD_086_0","添加選項以使道路（電力線和鐵路接觸網）中的電線尺寸更真實"
"BOB_UPD_090_0","現在可以 ‘實時預覽’ 更改效果"
"BOB_UPD_090_1","更改用戶界面：在套用更改之前選擇替換模式"
"BOB_UPD_090_2","更改為用戶界面：專用的“隱藏”按鈕可自動將概率設置為零"
"BOB_UPD_090_3","翻譯框架已更新為使用 ‘CrowdIn’ "
"BOB_UPD_090_4","樹不再有角度設置，因為這將被任何可實現隨機旋轉樹木的模組(Mod)替代"
"BOB_UPD_090_5","改進對具有特殊屬性的物體可處理性支援"
"BOB_UPD_090_6","其他小的 UI 和功能改進"
"BOB_UPD_091_0","合並了物體與樹木模式 - 用樹木替換物體，反之亦然"
"BOB_UPD_091_1","調整重複道路物體之間的間距(僅限獨立模式)"
"BOB_UPD_091_2","使用 ‘PageDown 或 PageUp’ 切換地下和隧道選擇模式 "
"BOB_UPD_091_3","現在可以在遊戲中添加或移除燈光(不再需要重啟遊戲來更新燈光效果)"
"BOB_UPD_091_4","按下 shift 時物體或樹木的位置突出顯示變暗，按下 alt 時完全關閉"
"BOB_UPD_092_0","添加選項以禁用遊戲預設的道路樹木替換工具。 使用此選項會禁用該工具的網絡捕捉功能，並允許在道路附近（或使用 “Anarchy” 模組）手動放置樹木。"
"BOB_UPD_093_0","主要新功能: 添加物體至建築預設模型體"
"BOB_UPD_093_1","添加快鍵用於禁用遊戲預設樹木工具 (預設快鍵為 Ctrl-Shift-T)"
"BOB_UPD_094_0","Major new feature: add props to network prefabs."
