"LANGUAGE","Türkçe"
"BOB_CFG_SSC","Seçilen yapılandırmayı kopyala"
"BOB_CFG_SEC","Yeni boş yapılandırma"
"BOB_CFG_DEL","Seçilen yapılandırmayı sil"
"BOB_CFG_LAA","Seçilen yapılandırmayı yükle ve uygula"
"BOB_CFG_LGL","Global yapılandırmayı yükleyin ve uygulayın"
"BOB_CFG_CLE","Mevcut yapılandırmayı temizle"
"BOB_CFG_CLE_TIP","Geçerli yapılandırma dosyasından yüksüz binalara, ağlara, dekorlara ve/veya ağaçlara yapılan tüm referansları kaldırır"
"BOB_CFG_CMD","Harita verilerini temizle"
"BOB_CFG_CMD_TIP","Mevcut kayıtlı oyundan değiştirilen bağımsız ağaçların ve dekorların kayıtlarını kaldırır. Artık harita değişikliklerini geri alamayacağınız anlamına gelir (binalardaki veya ağlardaki destekleri veya ağaçları ETKİLEMEZ)"
"BOB_OPT_GEN","Genel seçenekler"
"BOB_OPT_CFG","Yapılandırmalar"
"BOB_OPT_VIS","Görsel efektler"
"BOB_OPT_RUI","Bozulma"
"BOB_OPT_WIR","Kablolar"
"BOB_OPT_KEY","Kısayol"
"BOB_OPT_DTK","Kısayol"
"PRESS_ANY_KEY","Herhangi bir tuşa basın"
"BOB_OPT_RGL","Değişiklikler, yeniden başlatma sırasında geçerli olacaktır"
"BOB_OPT_RRT","Ağaçların neden olduğu yıkımı önle"
"BOB_OPT_RRP","Dekorların neden olduğu bozulmayı önle"
"BOB_OPT_WTH","Daha ince elektrik kabloları"
"BOB_NUKE","Mevcut yapılandırmayı temizle"
"BOB_PER_IND","Öğeleri varsayılan olarak tek tek göster"
"BOB_PER_SIN","Her zaman kapalı"
"BOB_PER_GRP","Her zaman açık"
"BOB_PER_LST","Önceki ayarı hatırla"
"BOB_OPT_POS","Önceki panel konumunu hatırla"
"BOB_OPT_DTT","Vanilya ağacı aracı ağ ağacı değiştirmeyi devre dışı bırak"
"BOB_FIL_NAME","Ara:"
"MES_PAGE","Daha fazla bilgi için lütfen modun Steam Workshop sayfasına bakın."
"BOB_ERR_FAT","Bu, modun çalışamadığı ve kapandığı anlamına gelir."
"BOB_ERR_HAR","BOB, ağaç ve dekor yerine geçen, gerekli Harmony yamalarını tamamlayamadı."
"ERR_HAR0","Uyum yama hatası"
"ERR_HAR1","Bu sorunun olası nedenleri şunlardır:"
"ERR_HAR2","Gerekli Harmony 2 mod kurulmadı"
"ERR_HAR3","Eski ve/veya bozuk bir mod, Harmony 2'nin düzgün çalışmasını engelliyor"
"RANDOM_TEMPLATE_MISSING","BOB, bir veya daha fazla rastgele şablon öğesi yükleyemedi:"
"PROP_TEMPLATE_MISSING","BOB rasgele dekorlar çalışmayacak"
"TREE_TEMPLATE_MISSING","BOB rastgele ağaçlar çalışmayacak"
"BOB_UPD_040_0","Harita ağacının değiştirilmesiyle tanışın! BOB aracını her zamanki gibi etkinleştirin ve bağımsız bir ağaca tıklayın."
"BOB_UPD_041_0","Hedef öğeyi değiştirirken aralıklı bina değiştirme paneli istisnasını düzeltildi."
"BOB_UPD_042_0","Alt bina seçimi etkinleştirildi"
"BOB_UPD_042_1","Oyun yükündeki olası yarış koşullarını düzeltildi."
"BOB_UPD_043_0","Tüm bina veya tüm ağ değişimine geri dönerken olasılık yenilemesini düzeltildi"
"BOB_UPD_043_1","Tüm ağ veya tüm bina değişimlerini geri aldıktan sonra LOD'lerin yenilenmemesini düzeltildi"
"BOB_UPD_043_2","Bilgi paneli metin alanı etiketlerini daha uzun çeviri dizelerine uyacak şekilde ayarlayın"
"BOB_UPD_050_0","Ağ değiştirme paketlerinin ilk uygulaması"
"BOB_UPD_050_1","Artık Network Skins 2 ile düzgün bir şekilde uyumlu"
"BOB_UPD_050_2","Daha hızlı değiştirme işlemi"
"BOB_UPD_051_0","Yeni ağaç/desen listesi düzeni, hangi tür değiştirmenin etkin olduğunu gösteren simgelerle"
"BOB_UPD_052_0","Seçenekler panelinden erişilebilen, birden çok farklı yapılandırma dosyasını işlemek için yapılandırma yönetimi ekle"
"BOB_UPD_060_0","Bağımsız dekor değişimi"
"BOB_UPD_060_1","Seçilen dekorları veya ağaçları vurgula"
"BOB_UPD_060_2","Artık binalardaki ağları seçebiliyor"
"BOB_UPD_060_3","Artık dekorasyon binaları seçilebilir"
"BOB_UPD_060_4","Yeniden tasarlanmış daha küçük değiştirme paneli"
"BOB_UPD_061_0","Listelere artan/azalan ad sıralama filtreleri ekle"
"BOB_UPD_062_0","Tüm ağaçlardan ve/veya dekorlardan arazi tahribatını kaldırma yeteneği eklendi (seçenekler panelinde)"
"BOB_UPD_062_1","Feribot yolları artık seçilebilir (bu feribot yolu işaretleyici şamandıraları değiştirmek/gizlemek için)"
"BOB_UPD_062_2","Seçimde bazen yanlış görüntülenen ağ dekor açılarını düzeltin"
"BOB_UPD_080_0","Bireysel ağ desteği değişimi ekle"
"BOB_UPD_080_1","Birleşik Kullanıcı Arabirimi (UUI) Ekle düğmesi"
"BOB_UPD_086_0","Ağlardaki (enerji hatları ve demiryolu katenerleri) kabloları daha gerçekçi boyutlandırma seçeneği eklendi"
"BOB_UPD_090_0","Değişiklikler artık gerçek zamanlı olarak önizleniyor"
"BOB_UPD_090_1","Kullanıcı Arayüzüne Geç: değişiklikleri uygulamadan önce değiştirme modları arasında seçim yap"
"BOB_UPD_090_2","Kullanıcı Arayüzüne Geç: olasılıkları otomatik olarak sıfıra ayarlamak için ayrılmış bir 'gizle' düğmesi"
"BOB_UPD_090_3","Çeviri çerçevesi CrowdIn'i kullanacak şekilde güncellendi"
"BOB_UPD_090_4","Ağaçların artık bir açı ayarı yoktur, çünkü bu, rastgele ağaç döndürme uygulayan herhangi bir mod tarafından her zaman geçersiz kılınacaktır"
"BOB_UPD_090_5","Özel niteliklere sahip donanımların işlenmesini iyileştirin"
"BOB_UPD_090_6","Diğer küçük kullanıcı arayüzü ve işlevsel iyileştirmeler"
"BOB_UPD_091_0","Birleşik nesne/ağaç modu - nesneleri ağaçlarla değiştirin veya tersi"
"BOB_UPD_091_1","Yinelenen ağ donanımları arasındaki boşluğu ayarlayın (yalnızca bireysel mod)"
"BOB_UPD_091_2","Tünelleri seçmek için yer altı modu (geçiş için PageDown/PageUp)"
"BOB_UPD_091_3","Işıklar artık oyun içinde eklenebilir veya kaldırılabilir (aydınlatma efektlerini güncellemek için artık yeniden başlatma gerekmez)"
"BOB_UPD_091_4","Dikme/ağaç konumu vurgulaması, shift düğmesine basıldığında soluklaşır ve alt düğmesine basıldığında tamamen kapanır"
"BOB_UPD_092_0","Oyunun ağaç aracı yol ağacı değiştirmeyi devre dışı bırakma seçeneği eklendi. Bu seçeneğin kullanılması, aracın ağa bağlanma işlevini devre dışı bırakır ve ağaçların yolların yakınına (veya üzerine, bir Anarşi modu kullanılarak) manuel olarak yerleştirilmesine izin verir."
"BOB_UPD_093_0","Önemli yeni özellik: prefabrik yapılar oluşturmak için dekorlar ekleyin."
"BOB_UPD_093_1","Vanilya ağacı aracını devre dışı bırakmak için kısayol tuşu ekle (varsayılan Ctrl-Shift-T)"
"BOB_UPD_094_0","Önemli yeni özellik: ağ hazır yapılarına donanım ekleyin."
